protocol,table,attribute,definition,type,format_text,unit,id_variable,status
seagrass_shoots,blade_measurement_data,blade_rank,"Rank of the blade from youngest or innermost, to oldest. Use a integer scale starting at 1 for the youngest blade.",numeric,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,blade_length_mm,Blade length in millimeters,integer,XX,millimeters,NA,active
seagrass_shoots,blade_measurement_data,blade_width_mm,Blade width in millimeters,integer,XX,millimeters,NA,active
seagrass_shoots,blade_measurement_data,blade_measurement_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
seagrass_shoots,sheath_and_epibiont_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_shoots,sheath_and_epibiont_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_shoots,sheath_and_epibiont_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_shoots,sheath_and_epibiont_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_shoots,sheath_and_epibiont_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,sheath_length_mm,Sheath length in millimeters,integer,XX,millimeters,NA,active
seagrass_shoots,sheath_and_epibiont_data,number_grazing_scars,Number of grazing scars on seagrass blades,integer,XX,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,tin_mass_epibiont_g,"Mass of the empty tin to hold the epibionts, in grams",integer,XX.XX,grams,NA,active
seagrass_shoots,sheath_and_epibiont_data,tin_and_epibiont_dry_mass_g,"Mass of the empty tin and epibionts that have been dried to a constant weight, in grams",integer,XX.XX,grams,NA,active
seagrass_shoots,sheath_and_epibiont_data,tin_mass_blades_g,"Mass of the empty tin to hold the blades, in grams",integer,XX.XX,grams,NA,active
seagrass_shoots,sheath_and_epibiont_data,tin_and_blades_dry_mass_g,"Mass of the empty tin and blades that have been dried to a constant weight, in grams",integer,XX.XX,grams,NA,active
seagrass_shoots,sheath_and_epibiont_data,sheath_and_epibiont_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,sample_metadata,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
beach_seines,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
beach_seines,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
beach_seines,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
beach_seines,sample_metadata,sample_processing_date,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,NA,active
beach_seines,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
beach_seines,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
beach_seines,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
beach_seines,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
beach_seines,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
beach_seines,sample_metadata,seine_mesh_size_mm,"The mesh size on the beach seine, in millimeters",numeric,NA,millimeters,NA,active
beach_seines,sample_metadata,seine_width_m,"The width of the beach seine, in meters",numeric,NA,meters,NA,active
beach_seines,sample_metadata,seine_height_m,"The height of the beach seine, in meters",numeric,NA,meters,NA,active
beach_seines,sample_metadata,seine_distance_m,"The distance towed along the transect, in meters (may or may not be 50 m)",numeric,NA,meters,NA,active
beach_seines,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
beach_seines,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
beach_seines,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,abundance_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
beach_seines,abundance_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
beach_seines,abundance_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
beach_seines,abundance_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
beach_seines,abundance_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
beach_seines,abundance_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,abundance_data,abundance,Total abundance of each fish taxon.,NA,NA,NA,NA,active
beach_seines,abundance_data,abundance_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,length_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
beach_seines,length_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
beach_seines,length_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
beach_seines,length_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
beach_seines,length_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
beach_seines,length_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
beach_seines,length_data,length_mm,"Length, in millimeters, of the first 20 individuals per taxon. Each cell should contain only one length measurement.",NA,NA,Millimeters,NA,active
beach_seines,length_data,length_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
environmental_monitoring,sample_metadata,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
environmental_monitoring,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
environmental_monitoring,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
environmental_monitoring,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
environmental_monitoring,sample_metadata,sample_point_decimal_latitude,"Latitude of the sampling point, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
environmental_monitoring,sample_metadata,sample_point_decimal_longitude,"Longitude of the sampling point, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
environmental_monitoring,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
environmental_monitoring,sample_metadata,temperature_method,"Method used to measure temperature, such as ""YSI probe"" or ""thermometer""",text,NA,NA,NA,active
environmental_monitoring,sample_metadata,salinity_method,"Method used to measure salinity, such as ""YSI probe"" or ""refractometer""",text,NA,NA,NA,active
environmental_monitoring,sample_metadata,turbidity_method,"Method used to measure turbidity, e.g. ""Secchi disk""",text,NA,NA,NA,active
environmental_monitoring,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
environmental_monitoring,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
environmental_monitoring,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
environmental_monitoring,environmental_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
environmental_monitoring,environmental_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
environmental_monitoring,environmental_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
environmental_monitoring,environmental_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
environmental_monitoring,environmental_data,temperature_c,"Temperature, measured with a probe, sonde, or thermometer, in degrees Celsius",numeric,xx,degrees Celsius,NA,active
environmental_monitoring,environmental_data,salinity_ppt,"Salinity, measured with a probe, sonde, or refractometer, in parts per thousand",numeric,xx,ppt,NA,active
environmental_monitoring,environmental_data,secchi_depth_m,"Turbidity, measured as Secchi depth in meters (to the nearest 0.1 m)",numeric,xx.x,meters,NA,active
environmental_monitoring,environmental_data,environmental_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
fish_trawls,sample_metadata,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
fish_trawls,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
fish_trawls,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
fish_trawls,sample_metadata,trawl,"The trawl at the location the sample came from: 1, 2, or 3",numeric,NA,NA,NA,active
fish_trawls,sample_metadata,sample_processing_date,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,NA,active
fish_trawls,sample_metadata,trawl_begin_decimal_latitude,"Latitude of the trawl beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
fish_trawls,sample_metadata,trawl_begin_decimal_longitude,"Longitude of the trawl beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
fish_trawls,sample_metadata,trawl_end_decimal_latitude,"Latitude of the trawl ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
fish_trawls,sample_metadata,trawl_end_decimal_longitude,"Latitude of the trawl ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
fish_trawls,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth",numeric,NA,meters,NA,active
fish_trawls,sample_metadata,trawl_mesh_size_mm,The size of the trawl mesh,numeric,NA,millimeters,NA,active
fish_trawls,sample_metadata,trawl_opening_height_m,"The height of the trawl opening, in meters",numeric,XX,meters,NA,active
fish_trawls,sample_metadata,trawl_opening_width_m,"The width of the trawl opening, in meters",numeric,XX,meters,NA,active
fish_trawls,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
fish_trawls,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
fish_trawls,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
fish_trawls,abundance_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
fish_trawls,abundance_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
fish_trawls,abundance_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
fish_trawls,abundance_data,trawl,"The trawl at the location the sample came from: 1, 2, or 3",numeric,NA,NA,NA,active
fish_trawls,abundance_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
fish_trawls,abundance_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
fish_trawls,abundance_data,abundance,Total abundance of each fish taxon.,NA,NA,NA,NA,active
fish_trawls,abundance_data,abundance_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
fish_trawls,length_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
fish_trawls,length_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
fish_trawls,length_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
fish_trawls,length_data,trawl,"The trawl at the location the sample came from: 1, 2, or 3",numeric,NA,NA,NA,active
fish_trawls,length_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
fish_trawls,length_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
fish_trawls,length_data,length_mm,"Length in millimeters. 

Each cell should contain only one length measurement.",NA,NA,millimeters,NA,active
fish_trawls,length_data,length_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
predation_assay,sample_metadata,sample_deployment_date,The date the sample was deployed in the field,date,YYYY-MM-DD,NA,1,active
predation_assay,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
predation_assay,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
predation_assay,sample_metadata,transect,The transect at the location the sample came from: 1 or 2,numeric,NA,NA,1,active
predation_assay,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
predation_assay,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
predation_assay,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
predation_assay,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
predation_assay,sample_metadata,sample_deployment_time,The time the sample was deployed in the field in 24-hour format (local time),time,HH:MM,NA,NA,active
predation_assay,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
predation_assay,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
predation_assay,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
predation_assay,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
predation_assay,sample_data,sample_deployment_date,The date the sample was deployed in the field,date,YYYY-MM-DD,NA,1,active
predation_assay,sample_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
predation_assay,sample_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
predation_assay,sample_data,transect,The transect at the location the sample came from: 1 or 2,numeric,NA,NA,1,active
predation_assay,sample_data,number_deployed,Numer of squidpops deployed,integer,XX,NA,NA,active
predation_assay,sample_data,bait_type,Type of bait used. Standard is squid.,text,NA,NA,NA,active
predation_assay,sample_data,bait_missing_1_hr,Number of bait missing after 1 hour,integer,XX,NA,NA,active
predation_assay,sample_data,stakes_remaining_1_hr,Number of stakes remaining after 1 hour,integer,XX,NA,NA,active
predation_assay,sample_data,bait_missing_24_hr,Number of bait missing after 24 hours,integer,XX,NA,NA,active
predation_assay,sample_data,stakes_remaining_24_hr,Number of stakes remaining after 24 hours,integer,XX,NA,NA,active
predation_assay,sample_data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
sediment_organic_matter,sample_metadata,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
sediment_organic_matter,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
sediment_organic_matter,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
sediment_organic_matter,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
sediment_organic_matter,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
sediment_organic_matter,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
sediment_organic_matter,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
sediment_organic_matter,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
sediment_organic_matter,sample_metadata,sample_processing_date,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,NA,active
sediment_organic_matter,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
sediment_organic_matter,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
sediment_organic_matter,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
sediment_organic_matter,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
sediment_organic_matter,sample_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
sediment_organic_matter,sample_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
sediment_organic_matter,sample_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
sediment_organic_matter,sample_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
sediment_organic_matter,sample_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
sediment_organic_matter,sample_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
sediment_organic_matter,sample_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
sediment_organic_matter,sample_data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),text,NA,NA,NA,active
sediment_organic_matter,sample_data,tin_mass_g,"Empty tin mass, in grams.",decimal,XX.XX,grams,NA,active
sediment_organic_matter,sample_data,sediment_volume_ml,"Sediment volume, in milliliters.",decimal,XX.XX,milliliters,NA,active
sediment_organic_matter,sample_data,tin_and_sediment_dry_mass_g,Mass of the tin and sediment after drying to a constant weight.,decimal,XX.XX,grams,NA,active
sediment_organic_matter,sample_data,tin_and_sediment_ash_free_dry_mass_g,Mass of the tin and ass free sediment after placing in a muffle furnace.,decimal,XX.XX,grams,NA,active
sediment_organic_matter,sample_data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
visual_census,sample_metadata,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
visual_census,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
visual_census,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
visual_census,sample_metadata,transect,The transect at the location the sample came from: 1 or 2,numeric,NA,NA,1,active
visual_census,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
visual_census,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
visual_census,sample_metadata,sample_collection_time,The time of day the sample was collected in the field in 24 hour format,time,HH:MM,NA,NA,active
visual_census,sample_metadata,diver,The diver's name,text,NA,NA,NA,active
visual_census,sample_metadata,buddy,The buddy's name,text,NA,NA,NA,active
visual_census,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
visual_census,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth",numeric,NA,meters,NA,active
visual_census,sample_metadata,visibility_m,Site visibility in meters,numeric,XX,meters,NA,active
visual_census,sample_metadata,direction,Transect direction,numeric,XXX,0-360 degrees,NA,active
visual_census,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
visual_census,fish_survey_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
visual_census,fish_survey_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
visual_census,fish_survey_data,sample_collection_date,The date the sample was collected in the field,date,YYYY-MM-DD,NA,1,active
visual_census,fish_survey_data,transect,"The transect at the location the sample came from: 1, 2, or 3.",numeric,NA,NA,1,active
visual_census,fish_survey_data,block,The block at the location the sample came from: 1 or 2,numeric,NA,NA,NA,active
