user_supplied_name,submitted_name,data_source_title,score,matched_name2
Abudefduf saxatilis,Abudefduf saxatilis,World Register of Marine Species,0.988,Abudefduf saxatilis
Abudefduf saxitalis,Abudefduf saxitalis,World Register of Marine Species,0.75,Abudefduf saxatilis
Acanthostracion polygonius,Acanthostracion polygonius,World Register of Marine Species,0.988,Acanthostracion polygonius
Acanthostracion quadricornis,Acanthostracion quadricornis,World Register of Marine Species,0.988,Acanthostracion quadricornis
Acanthurus chirurgus,Acanthurus chirurgus,World Register of Marine Species,0.988,Acanthurus chirurgus
Acanthurus coerulus,Acanthurus coerulus,World Register of Marine Species,0.988,Acanthurus coerulus
Aetobatus narinari,Aetobatus narinari,World Register of Marine Species,0.988,Aetobatus narinari
Alphestes afer,Alphestes afer,World Register of Marine Species,0.988,Alphestes afer
Aluterus scriptus,Aluterus scriptus,World Register of Marine Species,0.988,Aluterus scriptus
Amblycirrhitus pinos,Amblycirrhitus pinos,World Register of Marine Species,0.988,Amblycirrhitus pinos
Anisotremus virginicus,Anisotremus virginicus,World Register of Marine Species,0.988,Anisotremus virginicus
Apogon sp.,Apogon sp.,World Register of Marine Species,0.75,Apogon
Aulostomus maculatus,Aulostomus maculatus,World Register of Marine Species,0.988,Aulostomus maculatus
Bodianus pulchellus,Bodianus pulchellus,World Register of Marine Species,0.988,Bodianus pulchellus
Bodianus rufus,Bodianus rufus,World Register of Marine Species,0.988,Bodianus rufus
Bothus lunatus,Bothus lunatus,World Register of Marine Species,0.988,Bothus lunatus
Calamus spp.,Calamus spp.,World Register of Marine Species,0.75,Calamus
Cantherhines macrocerus,Cantherhines macrocerus,World Register of Marine Species,0.988,Cantherhines macrocerus
Cantherhines pullus,Cantherhines pullus,World Register of Marine Species,0.988,Cantherhines pullus
Cantherines pullus,Cantherines pullus,World Register of Marine Species,0.988,Cantherines pullus
Canthigaster rostrata,Canthigaster rostrata,World Register of Marine Species,0.988,Canthigaster rostrata
Carangoides bartholomaei,Carangoides bartholomaei,World Register of Marine Species,0.988,Carangoides bartholomaei
Carangoides lugubris,Carangoides lugubris,World Register of Marine Species,0.75,Carangoides
Carangoides ruber,Carangoides ruber,World Register of Marine Species,0.988,Carangoides ruber
Caranx crysos,Caranx crysos,World Register of Marine Species,0.988,Caranx crysos
Caranx hippos,Caranx hippos,World Register of Marine Species,0.988,Caranx hippos
Caranx latus,Caranx latus,World Register of Marine Species,0.988,Caranx latus
Cephalopholis cruentata,Cephalopholis cruentata,World Register of Marine Species,0.988,Cephalopholis cruentata
Cephalopholis fulvus,Cephalopholis fulvus,World Register of Marine Species,0.988,Cephalopholis fulvus
Chaetodon capistratus,Chaetodon capistratus,World Register of Marine Species,0.988,Chaetodon capistratus
Chaetodon ocellatus,Chaetodon ocellatus,World Register of Marine Species,0.988,Chaetodon ocellatus
Chaetodon sedentarius,Chaetodon sedentarius,World Register of Marine Species,0.988,Chaetodon sedentarius
Chaetodon striatus,Chaetodon striatus,World Register of Marine Species,0.988,Chaetodon striatus
Chromis cyanea,Chromis cyanea,World Register of Marine Species,0.988,Chromis cyanea
Chromis insolata,Chromis insolata,World Register of Marine Species,0.988,Chromis insolata
Chromis mulitlineata,Chromis mulitlineata,World Register of Marine Species,0.75,Chromis multilineata
Chromis sp.,Chromis sp.,World Register of Marine Species,0.75,Chromis
Clepticus parrae,Clepticus parrae,World Register of Marine Species,0.988,Clepticus parrae
Coryphopterus personatus,Coryphopterus personatus,World Register of Marine Species,0.988,Coryphopterus personatus
Decapterus sp.,Decapterus sp.,World Register of Marine Species,0.75,Decapterus
Diodon holocanthus,Diodon holocanthus,World Register of Marine Species,0.988,Diodon holocanthus
Diodon hystrix,Diodon hystrix,World Register of Marine Species,0.988,Diodon hystrix
Echeneis neucratoides,Echeneis neucratoides,World Register of Marine Species,0.988,Echeneis neucratoides
Echeneis sp.,Echeneis sp.,World Register of Marine Species,0.75,Echeneis
Elacatinus lobeli,Elacatinus lobeli,World Register of Marine Species,0.988,Elacatinus lobeli
Elacatinus spp.,Elacatinus spp.,World Register of Marine Species,0.75,Elacatinus
Epinephelus adcensionis,Epinephelus adcensionis,World Register of Marine Species,0.75,Epinephelus adscensionis
Epinephelus crysos,Epinephelus crysos,World Register of Marine Species,0.75,Epinephelus
Epinephelus guttatus,Epinephelus guttatus,World Register of Marine Species,0.988,Epinephelus guttatus
Epinephelus morio,Epinephelus morio,World Register of Marine Species,0.988,Epinephelus morio
Epinephelus striatus,Epinephelus striatus,World Register of Marine Species,0.988,Epinephelus striatus
Epinephelus vetula,Epinephelus vetula,World Register of Marine Species,0.75,Epinephelus
Equetus punctatus,Equetus punctatus,World Register of Marine Species,0.988,Equetus punctatus
Ginglymostoma cirratum,Ginglymostoma cirratum,World Register of Marine Species,0.988,Ginglymostoma cirratum
Gramma loreto,Gramma loreto,World Register of Marine Species,0.988,Gramma loreto
Gymnothorax funebris,Gymnothorax funebris,World Register of Marine Species,0.988,Gymnothorax funebris
Gymnothorax miliaris,Gymnothorax miliaris,World Register of Marine Species,0.988,Gymnothorax miliaris
Haemulon carbonarium,Haemulon carbonarium,World Register of Marine Species,0.988,Haemulon carbonarium
Haemulon flavolineatum,Haemulon flavolineatum,World Register of Marine Species,0.988,Haemulon flavolineatum
Haemulon macrostomum,Haemulon macrostomum,World Register of Marine Species,0.988,Haemulon macrostomum
Haemulon plumierii,Haemulon plumierii,World Register of Marine Species,0.988,Haemulon plumierii
Haemulon sciurus,Haemulon sciurus,World Register of Marine Species,0.988,Haemulon sciurus
Haemulon striatum,Haemulon striatum,World Register of Marine Species,0.988,Haemulon striatum
Haemulon vittatum,Haemulon vittatum,World Register of Marine Species,0.988,Haemulon vittatum
Halichoeres bivittatus,Halichoeres bivittatus,World Register of Marine Species,0.988,Halichoeres bivittatus
Halichoeres cyanocephalus,Halichoeres cyanocephalus,World Register of Marine Species,0.988,Halichoeres cyanocephalus
Halichoeres cyanopcephalis,Halichoeres cyanopcephalis,World Register of Marine Species,0.75,Halichoeres cyanocephalus
Halichoeres garnoti,Halichoeres garnoti,World Register of Marine Species,0.988,Halichoeres garnoti
Halichoeres maculipinna,Halichoeres maculipinna,World Register of Marine Species,0.988,Halichoeres maculipinna
Halichoeres pictus,Halichoeres pictus,World Register of Marine Species,0.988,Halichoeres pictus
Haliochoeres radiatus,Haliochoeres radiatus,World Register of Marine Species,0.75,Halichoeres radiatus
Heteropriacanthus cruentatus,Heteropriacanthus cruentatus,World Register of Marine Species,0.988,Heteropriacanthus cruentatus
Holocanthus ciliaris,Holocanthus ciliaris,World Register of Marine Species,0.988,Holocanthus ciliaris
Holocanthus tricolor,Holocanthus tricolor,World Register of Marine Species,0.988,Holocanthus tricolor
Holocentridae,Holocentridae,World Register of Marine Species,0.75,Holocentridae
Holocentrus spp.,Holocentrus spp.,World Register of Marine Species,0.75,Holocentrus
Hypanus americanus,Hypanus americanus,World Register of Marine Species,0.988,Hypanus americanus
Hypoplectrus,Hypoplectrus,World Register of Marine Species,0.75,Hypoplectrus
Hypoplectrus indigo,Hypoplectrus indigo,World Register of Marine Species,0.988,Hypoplectrus indigo
Hypoplectrus indigos,Hypoplectrus indigos,World Register of Marine Species,0.75,Hypoplectrus indigo
Hypoplectrus nigricans,Hypoplectrus nigricans,World Register of Marine Species,0.988,Hypoplectrus nigricans
Hypoplectrus puella,Hypoplectrus puella,World Register of Marine Species,0.988,Hypoplectrus puella
Hypoplectrus spp.,Hypoplectrus spp.,World Register of Marine Species,0.75,Hypoplectrus
Kyphosus spp.,Kyphosus spp.,World Register of Marine Species,0.75,Kyphosus
labrisomus sp.,Labrisomus sp.,World Register of Marine Species,0.75,Labrisomus
Lachnolaimus maximus,Lachnolaimus maximus,World Register of Marine Species,0.988,Lachnolaimus maximus
Lactophrys bicaudalis,Lactophrys bicaudalis,World Register of Marine Species,0.988,Lactophrys bicaudalis
Lactophrys trigonus,Lactophrys trigonus,World Register of Marine Species,0.988,Lactophrys trigonus
Lactophrys triqueter,Lactophrys triqueter,World Register of Marine Species,0.988,Lactophrys triqueter
Liopropoma rubre,Liopropoma rubre,World Register of Marine Species,0.988,Liopropoma rubre
Lucayablennius zingaro,Lucayablennius zingaro,World Register of Marine Species,0.988,Lucayablennius zingaro
Luitjanus mahogani,Luitjanus mahogani,World Register of Marine Species,0.75,Lutjanus mahogoni
Lutjanus analis,Lutjanus analis,World Register of Marine Species,0.988,Lutjanus analis
Lutjanus apodus,Lutjanus apodus,World Register of Marine Species,0.988,Lutjanus apodus
Lutjanus cyanopterus,Lutjanus cyanopterus,World Register of Marine Species,0.988,Lutjanus cyanopterus
Lutjanus griseus,Lutjanus griseus,World Register of Marine Species,0.988,Lutjanus griseus
Lutjanus jocu,Lutjanus jocu,World Register of Marine Species,0.988,Lutjanus jocu
Lutjanus mahogoni,Lutjanus mahogoni,World Register of Marine Species,0.988,Lutjanus mahogoni
Lutjanus synagris,Lutjanus synagris,World Register of Marine Species,0.988,Lutjanus synagris
Malacanthus plumieri,Malacanthus plumieri,World Register of Marine Species,0.988,Malacanthus plumieri
Malacoctenus triangulatus,Malacoctenus triangulatus,World Register of Marine Species,0.988,Malacoctenus triangulatus
Megalops atlanticus,Megalops atlanticus,World Register of Marine Species,0.988,Megalops atlanticus
Melicthys niger,Melicthys niger,World Register of Marine Species,0.988,Melicthys niger
Microspathodon chrysurus,Microspathodon chrysurus,World Register of Marine Species,0.988,Microspathodon chrysurus
Monocanthidae,Monocanthidae,World Register of Marine Species,0.5,Monacanthidae
Monocanthus tuckeri,Monocanthus tuckeri,World Register of Marine Species,0.75,Monacanthus tuckeri
Mulloidichthys martinicus,Mulloidichthys martinicus,World Register of Marine Species,0.988,Mulloidichthys martinicus
Mycteroperca bonaci,Mycteroperca bonaci,World Register of Marine Species,0.988,Mycteroperca bonaci
Mycteroperca interstitialis,Mycteroperca interstitialis,World Register of Marine Species,0.988,Mycteroperca interstitialis
Mycteroperca tigris,Mycteroperca tigris,World Register of Marine Species,0.988,Mycteroperca tigris
Mycteroperca venenosa,Mycteroperca venenosa,World Register of Marine Species,0.988,Mycteroperca venenosa
Myripristis jacobus,Myripristis jacobus,World Register of Marine Species,0.988,Myripristis jacobus
Neoniphon marianus,Neoniphon marianus,World Register of Marine Species,0.988,Neoniphon marianus
Ocyurus chrysurus,Ocyurus chrysurus,World Register of Marine Species,0.988,Ocyurus chrysurus
Odontoscion dentex,Odontoscion dentex,World Register of Marine Species,0.988,Odontoscion dentex
Opistognathus aurifrons,Opistognathus aurifrons,World Register of Marine Species,0.988,Opistognathus aurifrons
Pomocanthus arcuatus,Pomocanthus arcuatus,World Register of Marine Species,0.75,Pomacanthus arcuatus
Pomocanthus paru,Pomocanthus paru,World Register of Marine Species,0.75,Pomacanthus paru
Priacanthus arenatus,Priacanthus arenatus,World Register of Marine Species,0.988,Priacanthus arenatus
Prognathodes aculeatus,Prognathodes aculeatus,World Register of Marine Species,0.988,Prognathodes aculeatus
Pseudupeneus maculatus,Pseudupeneus maculatus,World Register of Marine Species,0.988,Pseudupeneus maculatus
Pterois volitans,Pterois volitans,World Register of Marine Species,0.988,Pterois volitans
Rachycentron canadum,Rachycentron canadum,World Register of Marine Species,0.988,Rachycentron canadum
Remora sp.,Remora sp.,World Register of Marine Species,0.75,Remora
Remora spp.,Remora spp.,World Register of Marine Species,0.75,Remora
Rypticus saponaceus,Rypticus saponaceus,World Register of Marine Species,0.988,Rypticus saponaceus
Scarus  taeneopterus,Scarus  taeneopterus,World Register of Marine Species,0.75,Scarus taeniopterus
Scarus iseri,Scarus iseri,World Register of Marine Species,0.988,Scarus iseri
Scarus taeneopterus,Scarus taeneopterus,World Register of Marine Species,0.75,Scarus taeniopterus
Scarus vetula,Scarus vetula,World Register of Marine Species,0.988,Scarus vetula
Scomberomorus maculatus,Scomberomorus maculatus,World Register of Marine Species,0.988,Scomberomorus maculatus
Scomberomorus regalis,Scomberomorus regalis,World Register of Marine Species,0.988,Scomberomorus regalis
Scorpaena plumieri,Scorpaena plumieri,World Register of Marine Species,0.988,Scorpaena plumieri
Serranus tabacarius,Serranus tabacarius,World Register of Marine Species,0.988,Serranus tabacarius
Serranus tigrinus,Serranus tigrinus,World Register of Marine Species,0.988,Serranus tigrinus
Sparisoma atomarium,Sparisoma atomarium,World Register of Marine Species,0.988,Sparisoma atomarium
Sparisoma aurofrenatum,Sparisoma aurofrenatum,World Register of Marine Species,0.988,Sparisoma aurofrenatum
Sparisoma chrysopterum,Sparisoma chrysopterum,World Register of Marine Species,0.988,Sparisoma chrysopterum
Sparisoma rubripinne,Sparisoma rubripinne,World Register of Marine Species,0.988,Sparisoma rubripinne
Sparisoma viride,Sparisoma viride,World Register of Marine Species,0.988,Sparisoma viride
Sphoeroides spengleri,Sphoeroides spengleri,World Register of Marine Species,0.988,Sphoeroides spengleri
Sphyraena barracuda,Sphyraena barracuda,World Register of Marine Species,0.988,Sphyraena barracuda
Stegastes diencaeus,Stegastes diencaeus,World Register of Marine Species,0.988,Stegastes diencaeus
Stegastes fuscus,Stegastes fuscus,World Register of Marine Species,0.988,Stegastes fuscus
Stegastes leucostictus,Stegastes leucostictus,World Register of Marine Species,0.988,Stegastes leucostictus
Stegastes partitus,Stegastes partitus,World Register of Marine Species,0.988,Stegastes partitus
Stegastes planifrons,Stegastes planifrons,World Register of Marine Species,0.988,Stegastes planifrons
Stegastes variabilis,Stegastes variabilis,World Register of Marine Species,0.988,Stegastes variabilis
Stephanolepis hispidus,Stephanolepis hispidus,World Register of Marine Species,0.988,Stephanolepis hispidus
Synodus intermedius,Synodus intermedius,World Register of Marine Species,0.988,Synodus intermedius
Tachinotus falcatus,Tachinotus falcatus,World Register of Marine Species,0.75,Trachinotus falcatus
Thalassoma bifasciatum,Thalassoma bifasciatum,World Register of Marine Species,0.988,Thalassoma bifasciatum
Xyrichtys martinicensis,Xyrichtys martinicensis,World Register of Marine Species,0.988,Xyrichtys martinicensis
